,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1955,16338,25.3,9.3,26.3,16.6,0.481,31.975,118.128,107.769,60964,109254,1.3433,2.96,3.4667,1.2233,2.65,4.7333,-1.84,7.16,36.29666667,15.417,234,636,661,68.702,454,3812,6399,312.337,2813.212,5.816,84.4645,1.006969845,-999,125.32,173.753807,86.8127853
1955.25,16537,25.1,9.6,26.1,17.2,0.414,32.068,118.315,107.943,61781,109680,1.5,3.0333,3.5,1.4833,2.76,4.4,1.18,4.84,38.38,15.481,247,644,665,72.688,477,3866,6419,331.333,2858.988,5.864,87.4043,1.012278363,-999,128.696,175.9628095,91.3647892
1955.5,16684,24.8,9.8,25.9,17.3,0.702,32.199,118.335,108.357,62950,109977,1.94,3.1,3.5567,1.8567,2.95,4.1,1.62,0.28,43.15333333,15.59,256,646,672,74.747,490,3875,6456,336.418,2897.598,5.969,87.483,1.020447959,-999,131.363,177.4645611,93.37802004
1955.75,16703,24.9,9.5,26.2,18,0.977,32.099,118.597,108.663,63684,110296,2.3567,3.1167,3.5967,2.3367,2.91,4.2333,-5.6,-1.93,44.14333333,15.743,249,655,686,78.882,475,3934,6553,344.218,2914.993,6.022,88.5527,1.027157017,-999,136.056,181.0298948,94.98505665
1956,16568,25.1,9,26.4,17.8,1.005,31.704,118.185,110.681,63411,110582,2.4833,3.0967,3.5933,2.3267,2.9,4.0333,2.05,-1.97,45.35666667,15.902,237,661,694,78.303,451,3962,6588,334.39,2903.671,6.116,87.5453,1.038016715,-999,139.053,182.9109196,91.80296944
1956.25,16637,24.9,8.9,26.4,17.2,0.596,31.848,117.727,111.589,63820,110903,2.6933,3.26,3.7233,2.5667,3.08,4.2,6.29,1.71,46.95333333,15.997,237,663,702,77.02,450,3936,6625,331.759,2927.665,6.234,86.4917,1.038456219,-999,142.892,183.5902914,90.20789418
1956.5,16546,24.9,8.8,26.6,17.3,1.242,31.85,117.763,111.881,64079,111222,2.81,3.4233,3.9333,2.5833,3.27,4.1333,-2.13,-1.42,48.03666667,16.197,235,667,712,78.267,440,3921,6663,328.788,2925.035,6.33,84.1539,1.045638844,-999,145.666,184.6368176,89.64132719
1956.75,16733,24.6,9,26.6,16.7,0.413,32.188,117.97,111.875,63910,111526,2.9267,3.6767,4.26,3.0333,3.47,4.1333,2.79,6.68,46.14666667,16.264,245,671,722,77.145,452,3932,6717,325.739,2973.179,6.436,86.3631,1.050521207,-999,148.891,186.6064739,89.33817529
1957,16770,24.5,9.1,26.4,16.5,1.35,32.556,117.567,110.931,64404,111824,2.9333,3.7,4.4633,3.0967,3.4,3.9333,3.74,0.08,44.31,16.485,250,678,728,77.728,458,3939,6713,320.682,2992.219,6.528,86.521,1.050256808,-999,151.795,187.5290955,89.80304667
1957.25,16664,24.6,8.9,26.6,16.5,0.701,32.434,116.787,111.803,64196,112172,3,3.7733,4.53,3.14,3.63,4.1,6.08,-1.51,46.46,16.601,247,682,735,77.907,446,3937,6743,320.357,2985.663,6.595,84.5961,1.052865184,-999,155.677,188.7051212,88.9488338
1957.5,16751,24.8,8.7,26.6,16.5,0.601,32.898,116.506,111.133,64121,112554,3.2333,4.07,4.8267,3.3533,3.93,4.2333,4.44,1.32,46.11,16.701,244,695,743,79.339,441,3974,6762,327.701,3014.919,6.682,83.8886,1.047028066,-999,157.914,190.68027,89.43406969
1957.75,16505,25,8.7,27.4,14.9,0.06,33.003,115.465,111.982,63922,113013,3.2533,3.9967,5.0367,3.31,3.63,4.9333,8.91,-0.4,40.64,16.711,241,690,753,71.045,433,3930,6804,302.503,2983.727,6.773,79.4514,1.044113589,-999,161.012,191.1477202,82.76742611
1958,16016,25.6,8.4,28,14.2,1.077,32.546,115.275,113.17,62731,113337,1.8633,3.6067,4.7233,1.7567,3.04,6.3,1.3,-6.49,41.49666667,16.892,228,693,755,66.73,403,3880,6769,282.096,2906.274,6.775,74.0657,1.033219814,-999,163.198,190.1854961,77.98808454
1958.25,16060,25.6,8.2,28.2,13.8,0.284,33.187,115.413,111.864,62730,113647,0.94,3.58,4.6133,0.9567,2.92,7.3667,1.04,2.77,43.59666667,16.94,222,698,766,65.065,395,3901,6842,276.413,2925.379,6.836,72.406,1.032178929,-999,165.501,192.4611985,76.07449806
1958.5,16360,25.3,8.1,27.9,14.8,0.606,33.807,115.952,111.776,63181,113977,1.3233,3.87,4.69,1.68,3.5,7.3333,-0.32,7.16,47.54666667,17.043,226,705,776,71.999,402,3955,6907,297.627,2993.068,6.994,75.4322,1.031807912,-999,167.587,195.5344843,81.66745059
