,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1970.5,23159,21.1,8.5,30.6,16,0.816,46.814,111.894,110.033,78498,137717,6.7033,8.22,9.41,6.3267,7.46,5.1667,5.49,4.42,78.74,22.88,448,1118,1615,173.904,711,4941,10091,586.598,4989.159,12.314,79.1145,0.906536651,-999,500.804,313.9840912,163.8885343
1970.75,22841,21.5,8,31.1,15.3,1.311,46.413,111.799,110.492,78594,138529,5.5667,7.9067,9.2767,5.3533,6.85,5.8333,-0.33,-4.34,86.233,23.182,424,1138,1641,166.754,661,4982,10108,555.454,4935.693,12.437,76.3763,0.907539802,-999,511.944,316.4288301,154.5125541
1971,23381,20.7,8.6,30.4,16.7,1.516,47.762,111.821,108.445,78588,139285,3.8567,7.2167,8.53,3.84,6.02,5.9333,4.91,9.32,96.733,23.536,474,1141,1670,189.495,730,4987,10147,620.212,5069.746,12.693,77.5181,0.914506919,1.08,522.498,318.2658461,172.0599586
1971.25,23447,20.6,8.7,30.6,17,1.309,47.923,111.778,108.362,78757,140090,4.5633,7.4733,8.6067,4.25,6.25,5.9,0.22,0.33,101.44,23.846,487,1152,1704,197.329,744,4984,10220,637.811,5097.179,12.879,77.6469,0.914198546,1.14,539.576,320.4638855,176.4275631
1971.5,23557,20.4,8.8,30.7,17.1,1.01,48.35,111.586,107.881,79689,140869,5.4733,7.5567,8.7033,5.01,6.48,6.0333,8.54,3.34,98.547,24.088,497,1156,1739,202.058,762,4958,10285,645.549,5139.128,13.056,77.3965,0.909214061,1.11,551.515,321.9985687,179.5168414
1971.75,23554,20.4,9,31.2,16.6,0.827,47.966,111.985,109.08,80471,141666,4.75,7.3,8.4133,4.23,5.89,5.9333,-5.42,-0.42,96.413,24.288,514,1168,1777,198.411,792,4977,10413,628.165,5151.245,13.146,79.1266,0.905222544,1.11,563.396,325.8930984,178.9597095
1972,23919,20,9,31,17.3,1.536,48.64,112.102,109.106,81573,143263,3.54,7.2333,8.2333,3.4367,6.03,5.7667,1.15,3.36,105.4,24.664,529,1181,1823,212.968,808,4981,10563,669.558,5245.974,13.512,81.7396,0.904992706,1.24,577.25,329.6223345,187.4764704
1972.25,24415,20,9,30.7,17.9,0.61,49.633,112.077,107.752,82083,144033,4.3,7.2767,8.2233,3.77,6.14,5.7,2.74,6.26,108.167,24.815,544,1213,1856,226.798,827,5104,10666,707.589,5365.045,13.669,82.8059,0.905373751,1.28,597.751,335.5430289,196.1953735
1972.5,24576,20.1,9.1,30.9,18,0.935,49.902,111.985,107.927,82543,144761,4.74,7.2067,8.17,4.22,6.29,5.5667,2.63,2.45,109.2,25.048,559,1237,1894,233.09,846,5161,10782,717.638,5415.712,13.851,83.331,0.904631973,1.29,610.924,340.1107299,200.1217616
1972.75,24918,20.1,9.3,30.8,18,1.262,50.313,111.837,108.38,83400,145446,5.1433,7.1367,7.9933,4.8633,6.37,5.3667,3.34,6.42,114.067,25.366,586,1272,1941,239.715,888,5244,10946,722.138,5506.396,14.112,85.7234,0.902908895,1.36,634.365,346.3357093,205.5231023
1973,25477,20,9.5,30.4,18.4,1.156,51.438,111.721,108.158,84452,146230,6.5367,7.22,7.9667,5.7,6.6,4.9333,4.12,5.95,115,25.661,624,1304,1978,254.313,943,5264,11062,764.458,5642.669,14.483,87.6441,0.897347692,1.31,657.375,349.8579941,216.9479535
1973.25,25708,19.8,9.3,30.3,18.9,1.512,51.486,111.671,108.366,85185,146981,7.8167,7.3067,8.0933,6.6033,6.81,4.9333,-2.33,-0.61,107.433,26.052,620,1329,2021,268.196,929,5208,11131,797.044,5704.098,14.684,87.584,0.891201297,1.2,686.38,350.4806552,221.2563769
1973.5,25505,20.2,9.1,30.6,18.4,1.89,50.987,111.675,109.905,85488,147731,10.56,7.5867,8.4667,8.3233,7.21,4.8,-4.25,-4.66,105.067,26.549,616,1366,2065,264.335,919,5220,11177,768.143,5674.1,14.938,87.3574,0.886760662,1.24,707.941,352.5361717,215.4823389
1973.75,25680,20.1,8.7,30.4,19,1.969,50.657,111.349,110.24,86401,148479,9.9967,7.65,8.4367,7.5,6.75,4.7667,1.22,0.38,102.193,27.077,603,1399,2106,280.858,895,5186,11191,795.504,5727.96,15.24,88.1185,0.873972919,1.18,727.577,352.7598424,221.0602479
1974,25415,20.7,8.5,30.7,18,1.884,50.554,110.548,110.508,86819,149225,9.3233,7.8967,8.5433,7.6167,7.05,5.1333,-3.19,-7.88,95.667,27.592,594,1449,2141,268.361,872,5106,11147,750.076,5678.713,15.588,86.5967,0.860625442,1.13,749.162,350.4717804,209.7741152
1974.25,25427,20.7,8.5,30.9,18.1,2.35,50.421,110.229,109.679,86941,150012,11.25,8.3633,9.0633,8.1533,7.54,5.2,2.73,-2.54,90.64,28.248,611,1489,2209,277.391,875,5062,11235,747.082,5692.21,15.996,85.7381,0.860294266,1.02,780.398,351.6208125,210.6696074
1974.5,25117,21,8.7,31.2,17.3,2.858,49.886,109.912,110.718,87051,150753,12.09,8.9867,9.81,8.19,7.96,5.6333,-5.76,-4.74,74.487,29.067,637,1530,2266,271.013,878,5060,11266,708.362,5638.411,16.471,84.7652,0.871990925,0.83,799.778,353.0288015,202.4934922
1974.75,24952,20.6,7.9,31.4,17.6,2.902,50.328,109.175,109.446,86144,151494,9.3467,9.0167,10.57,7.36,7.67,6.6,5.16,-2.33,69.417,29.923,592,1541,2334,281.339,792,4957,11352,712.661,5616.526,16.926,80.5247,0.881293874,0.84,820.316,352.6207921,196.1606096
1975,24601,20.8,8.1,32.1,15.1,2.241,50.727,108.278,108.344,85187,152217,6.3033,8.7067,10.6467,5.75,7.54,8.2667,9.69,0.45,78.813,30.601,613,1563,2404,244.306,808,4956,11435,597.866,5548.156,17.44,73.5688,0.88897339,0.98,829.622,354.8545719,175.6738617
1975.25,24731,20.8,8.3,32.3,14.7,1.486,51.574,108.143,107.222,85355,152976,5.42,8.8733,10.63,5.3933,8.05,8.8667,5.16,5.05,89.073,31.059,634,1599,2467,243.281,821,5054,11544,580.067,5587.8,17.812,71.9389,0.897632892,1.12,842.653,360.5016828,173.8072589
1975.5,25065,20.8,8.6,31.9,15.5,1.765,52.158,108.348,106.22,86279,153848,6.16,8.9133,10.5833,6.33,8.3,8.4667,-2.27,5.63,87.623,31.612,679,1646,2517,265.192,870,5088,11564,625.037,5683.444,18.127,73.8513,0.89007992,1.08,849.067,362.9151986,186.2920902
1975.75,25338,20.4,8.7,32,15.6,1.653,52.208,108.918,106.334,86665,154589,5.4133,8.81,10.58,5.6267,8.06,8.3,-4.16,1.42,89.113,32.139,707,1659,2597,276.236,893,5063,11700,642.484,5759.972,18.422,75.326,0.887556862,1.12,860.265,365.72733,191.5536838
1976,25854,20.1,9,31.9,16.7,1.034,52.977,109.283,105.575,87985,155306,4.8267,8.5567,10.2567,4.9167,7.75,7.7333,0.3,6.49,99.52,32.473,751,1691,2665,304.638,936,5154,11811,704.475,5889.5,18.775,77.3575,0.887427451,1.28,871.651,371.2165223,206.4748186
1976.25,25994,20.1,8.9,31.9,17.4,1.011,53.486,108.521,105.368,88563,156027,5.1967,8.5333,9.8967,5.1567,7.77,7.5667,3.38,1.89,101.633,32.803,762,1713,2712,322.303,938,5222,11864,732.358,5932.711,19.129,78.0885,0.893709155,1.3,892.778,374.9411528,212.2433802
1976.5,26059,20.1,9,32.3,17.4,1.281,53.583,108.322,105.894,89173,156779,5.2833,8.4633,9.62,5.15,7.73,7.7333,-0.7,0.54,104.333,33.226,778,1743,2786,328.307,946,5249,11977,734.91,5965.265,19.53,78.6823,0.891624851,1.34,908.499,378.8346382,213.705936
1976.75,26186,20.1,9.1,32.5,17.4,1.757,53.757,108.087,105.868,89803,157438,4.8733,8.1833,9.2133,4.6733,7.19,7.7667,3.82,0.75,102.6,33.815,801,1780,2866,337.65,959,5290,12109,740.408,6008.504,19.946,79.2971,0.891787274,1.36,931.426,383.5645956,216.6958566
1977,26429,19.9,9.2,32.6,18.1,1.596,54.082,107.943,105.692,90808,158131,4.66,8.0333,9.1067,4.63,7.35,7.5,2.34,1.78,101.8,34.359,838,1807,2952,360.313,993,5274,12229,774.711,6079.494,20.324,80.7015,0.889537007,1.35,958.203,386.3825674,226.0353991
1977.25,26883,19.6,9.2,32.3,18.9,1.393,54.314,108.129,105.678,91959,158929,5.1567,8.0133,8.9967,4.84,7.37,7.1333,-1.6,3.92,99.033,34.841,860,1835,3014,389.703,1014,5261,12245,830.251,6197.686,20.737,82.8484,0.88489694,1.36,990.308,387.2539307,237.1177229
1977.5,27282,19.3,9.1,32.3,19.5,1.224,54.854,107.893,105.291,92702,159674,5.82,7.9467,8.83,5.4967,7.36,6.9,6.01,5.15,98.06,35.27,879,1858,3096,414.134,1026,5272,12341,872.264,6309.514,21.14,83.1455,0.885552687,1.37,1014.242,390.5494161,245.007127
1977.75,27207,19.5,9.3,32.4,19.5,2.149,54.15,107.732,106.626,94105,160377,6.5133,8.1033,8.9433,6.11,7.6,6.6667,-4.14,-3.15,93.947,36.036,907,1915,3167,422.299,1044,5370,12423,850.383,6309.652,21.506,83.2184,0.888727493,1.35,1050.132,396.0057941,246.5761137
1978,27238,19.5,9,33,19.7,1.479,54.185,106.946,108.462,94755,161038,6.7567,8.45,9.1967,6.3933,8.01,6.3333,2.62,-1.57,89.35,36.573,894,1944,3269,434.799,1014,5381,12587,866.957,6329.791,22.076,82.6022,0.889405923,1.31,1080.105,400.4922945,246.2051568
1978.25,28225,19,9.3,32.3,20.1,1.813,55.248,107.93,105.95,96343,161795,7.2833,8.67,9.47,6.4767,8.32,6,0.23,7.75,95.927,37.242,973,2001,3376,470.584,1087,5408,12744,923.266,6574.39,22.454,84.6435,0.886917643,1.47,1120.822,405.4050129,262.2336797
1978.5,28418,19,9,32.3,20.5,1.659,55.25,107.754,105.712,96670,162502,8.1,8.7533,9.5,7.3133,8.49,6.0333,-0.27,-0.34,101.663,37.865,972,2044,3453,492.368,1069,5434,12798,950.166,6640.497,22.883,84.7314,0.887649679,1.59,1148.682,408.4031102,265.8103206
1978.75,28715,18.9,9,32,20.8,2.08,55.598,107.624,105.418,97581,163272,9.5833,9.0267,9.7867,8.57,8.82,5.9,-0.8,0.35,97.14,38.661,994,2099,3532,515.755,1075,5488,12828,972.139,6729.755,23.452,85.7045,0.887996518,1.48,1184.266,411.7120335,271.3597311
1979,28699,19.1,8.8,32.1,20.8,1.772,55.102,107.135,107.696,98480,164027,10.0733,9.2933,10.1567,9.3833,9.11,5.8667,0.17,-0.79,99.347,39.352,996,2162,3610,525.809,1059,5499,12929,973.754,6741.854,24.056,85.2826,0.887824743,1.59,1220.061,415.0779861,270.2494644
1979.25,28659,19.3,8.6,32.3,20.8,2.39,54.95,106.623,107.282,98679,164721,10.18,9.39,10.3933,9.3767,9.11,5.7,4,-4.58,101.177,40.304,988,2225,3718,539.293,1033,5474,12975,972.877,6749.063,24.608,84.3228,0.882448648,1.68,1271.17,416.3809663,268.5341465
1979.5,28778,19.6,8.6,32.3,20.4,2.114,54.891,106.875,107.561,99340,165431,10.9467,9.29,10.3933,9.6733,9.1,5.8667,-5.59,-1.61,106.233,41.165,1024,2317,3809,545.621,1058,5521,12984,956.493,6799.2,25.154,83.5456,0.876754303,1.83,1311.126,419.1983788,268.354501
1979.75,28763,19.8,8.4,32.6,20.1,1.975,54.843,106.815,108.294,99933,166300,13.5767,10.5433,11.8167,11.8433,10.45,5.9667,0.37,-1.5,105.333,41.986,1013,2385,3921,547.875,1028,5533,13052,939.526,6816.203,25.793,82.977,0.871947134,1.88,1343.792,422.2193768,263.2823176
1980,28775,20,8.3,32.7,19.8,2.058,55.103,106.253,108.118,99713,166984,15.0467,12.1433,13.48,13.3533,11.99,6.3,7.83,-0.39,110.3,42.859,1023,2469,4014,554.562,1009,5515,13037,933.101,6837.641,26.519,82.598,0.867574553,1.96,1384.83,422.5944775,260.037961
1980.25,28113,20.2,7.6,33.3,18.5,2.172,54.506,105.46,109.058,98682,167643,12.6867,11.2033,13.3567,9.6167,10.48,7.3333,-3.87,-8.51,108.433,43.8,932,2489,4076,519.294,897,5425,12919,853.76,6696.753,27.239,77.9008,0.866590309,1.93,1406.544,418.7718271,236.1771285
1980.5,27987,20.2,7.9,33.8,17.3,2.275,54.689,105.276,109.642,99077,168297,9.8367,11.5767,13.1667,9.1533,10.95,7.6667,-2.2,0.13,123.267,44.808,988,2528,4218,495.071,934,5396,13029,797.411,6688.794,27.935,75.7419,0.863072088,2.25,1433.518,421.3978661,228.1188082
1980.75,28428,19.8,7.9,33.7,18.4,2.725,55.299,105.657,109.094,99634,168883,15.8533,12.83,14.67,13.6133,12.42,7.4,-1.55,6.05,133.133,46.046,1033,2585,4392,551.472,960,5402,13192,871.733,6813.535,28.677,78.4993,0.858000428,2.49,1474.672,426.0578432,244.5318641
1981,28957,19.6,7.9,32.9,19.8,2.467,56.233,105.759,106.841,100571,169453,16.57,13.1633,15.2467,14.39,12.96,7.4333,4.39,4.29,131.533,47.196,1074,2680,4476,619.381,986,5439,13090,952.418,6947.042,29.398,77.966,0.854720823,2.47,1510.053,425.92247,262.336933
1981.25,28681,19.7,7.6,33.4,19.3,1.858,55.531,105.295,107.87,100298,170042,17.78,13.9833,15.77,14.9067,13.75,7.4,-3.85,-3.31,132.8,48.081,1049,2712,4588,609.843,945,5450,13150,912.945,6895.559,29.906,77.8304,0.858735607,2.57,1568.883,428.4516238,252.5506853
1981.5,28931,19.3,7.7,33.1,20,1.783,56,104.91,107.038,100064,170593,17.5767,14.92,16.4767,15.0533,14.85,7.4,7.56,4.17,125.667,48.946,1094,2732,4677,652.297,971,5448,13116,964.401,6978.135,30.578,77.1412,0.857913076,2.47,1619.47,428.8490632,264.254364
1981.75,28519,19.4,7.2,33.6,19.6,1.856,55.337,105.043,107.983,99645,171166,13.5867,14.6167,16.6833,11.75,14.09,8.2333,-1.97,-7.87,122.167,49.863,1026,2753,4772,643.395,899,5454,13109,930.44,6902.105,31.084,74.6439,0.859101317,2.42,1658.46,430.0199166,252.9372129
1982,27982,19.5,7.5,34.5,18,1.39,54.939,104.164,110.018,99672,171667,14.2267,15.01,17.0333,12.8133,14.29,8.8333,1.35,-5.24,114.2,50.561,1065,2765,4874,588.318,926,5453,13150,842.429,6794.878,31.909,72.3767,0.857455764,2.26,1701.08,431.7260228,237.1655617
1982.25,28073,19.2,7.5,34.6,17.8,1.197,55.053,104.791,109.412,99543,172190,14.5133,14.51,16.78,12.42,13.93,9.4333,-2.43,-0.79,114.133,51.17,1075,2754,4966,593.621,927,5431,13195,841.789,6825.876,32.157,71.5899,0.857807923,2.27,1749.654,432.9888525,237.0228766
1982.5,27900,19.3,7.5,35.3,17.6,1.43,55.158,104.8,109.553,99504,172690,11.0067,13.7533,16.25,9.3167,13.12,9.9,-2.13,-2.47,113.833,51.907,1084,2795,5092,592.954,932,5441,13263,834.075,6799.781,32.663,70.625,0.847424814,2.28,1787.372,435.7949699,236.3690144
1982.75,27859,19.3,7.8,36.1,16.1,1.104,55.66,104.736,108.974,99032,173199,9.2867,11.8767,14.39,7.9067,10.67,10.6667,0.74,0.43,136.733,52.483,1134,2818,5254,549.242,972,5483,13435,769.602,6802.497,33.147,68.9063,0.839091513,2.8,1807.584,441.7276047,227.0315026
1983,28167,18.9,7.7,36.3,16.2,0.805,56.401,105.074,108.253,99179,173656,8.6533,11.8433,13.8333,8.1067,10.56,10.3667,-0.83,2.41,147.667,52.907,1151,2813,5389,565.52,980,5490,13586,796.266,6892.144,33.48,70.2912,0.832637549,3.09,1856.429,446.0621172,232.6712111
1983.25,28750,18.8,8.1,36,17.1,0.674,57.7,105.264,106.457,100633,174125,8.8033,11.57,13.25,8.3967,10.54,10.1333,-0.82,6.06,162.733,53.265,1237,2876,5499,613.783,1050,5543,13743,866.784,7048.982,33.8,72.1901,0.82334634,3.49,1897.392,451.8556263,252.2009962
1983.5,29241,18.6,8.2,36.1,17.7,1.042,58.115,105.982,105.039,102016,174602,9.46,12.3433,13.5267,9.14,11.63,9.3667,-4.73,1.48,165.533,53.823,1289,2934,5665,652.269,1087,5613,13911,921.051,7189.896,33.98,74.6571,0.812789841,3.59,1938.071,458.5951677,266.1189096
1983.75,29774,18.3,8.4,35.8,18.9,0.733,58.396,106.039,105.065,102996,175121,9.43,12.41,13.6067,8.8,11.69,8.5333,0.34,4.71,165.767,54.219,1358,2962,5769,718.496,1138,5668,14022,1010.654,7339.893,34.368,76.7301,0.810662315,3.58,1996.223,463.6249581,288.1322248
1984,30307,18.1,8.5,35.4,20.2,1.059,58.492,106.39,105.683,103967,175824,9.6867,12.2833,13.7433,9.17,11.94,7.8667,3.4,5.25,160.367,54.796,1407,2998,5858,790.872,1179,5672,14057,1108.328,7483.371,34.759,78.7551,0.802339214,3.46,2067.153,465.3967688,310.9280286
1984.25,30777,18,8.5,35.3,20.4,0.838,58.855,106.577,105.117,105591,176284,10.5567,13.2133,14.7,9.7967,13.2,7.4333,2.96,3.4,155.767,55.257,1446,3060,5982,818.894,1204,5784,14139,1144.371,7612.668,35.125,79.511,0.798718741,3.36,2158.859,471.2598786,319.5911219
1984.5,31005,17.7,8.4,35.6,20.5,0.807,59.106,106.209,105.273,105490,176763,11.39,12.99,14.71,10.32,12.87,7.4333,1.97,0.47,160.533,55.705,1445,3062,6114,838.852,1201,5774,14282,1169.136,7686.059,35.64,79.6478,0.794435995,3.49,2226.602,475.3099261,324.2638081
1984.75,31176,17.7,8.5,35.7,20.1,0.669,59.142,106.112,105.471,106223,177306,9.2667,12.35,13.6067,8.8033,11.74,7.3,0.9,-0.34,165.2,56.079,1492,3089,6218,831.741,1237,5805,14404,1153.971,7749.151,35.927,79.4899,0.790643816,3.63,2320.618,480.0053398,324.8619841
1985,31428,17.5,8.7,36.2,19.1,1.144,59.241,106.184,105.29,106989,177667,8.4767,12.2567,13.3933,8.1833,11.58,7.2333,4.44,1.61,177.3,56.724,1548,3124,6419,809.865,1278,5829,14638,1122.331,7824.247,36.386,78.8175,0.783228379,3.96,2373.156,486.797252,321.6290211
1985.25,31649,17.5,8.7,36.4,19.2,0.617,59.441,106.271,105.223,106505,178096,7.9233,11.63,13.02,7.46,10.81,7.3,-0.81,-0.93,184.8,57.075,1567,3161,6532,827.04,1290,5862,14741,1141.447,7893.136,36.734,78.2718,0.777455418,4.19,2443.199,491.0457708,327.1992092
1985.5,32058,17.3,9,36.6,18.7,0.578,60.201,106.051,104.666,107657,178572,7.9,11.03,12.47,7.1067,10.34,7.2,2.7,4.18,188.3,57.406,1660,3185,6689,822.157,1369,5895,14901,1133.665,8013.674,37.278,77.7157,0.771872754,4.33,2487.573,496.8283301,331.4506777
1985.75,32218,17.4,8.6,36.7,19.3,0.577,60.463,105.85,105.982,108216,179112,8.1033,10.5767,11.9767,7.1667,9.76,7.0333,-0.94,0,197,57.738,1603,3231,6777,859.545,1319,5933,14983,1175.45,8073.239,37.984,77.7209,0.769838892,4.53,2571.993,500.9553337,336.4531986
1986,32453,17.3,8.7,36.8,19.1,0.487,61.175,105.613,105.76,108837,179985,7.8267,9.5733,11.0167,6.8967,8.56,7.0333,3.74,2.68,219.967,58.02,1633,3249,6891,863.457,1343,5997,15015,1175.105,8148.603,38.529,78.321,0.765993689,5.13,2634.044,504.4140152,338.5498045
1986.25,32533,16.8,8.9,37.1,18.8,0.399,61.646,105.026,105.997,109576,180503,6.92,9.0033,10.2733,6.14,7.6,7.1667,3.23,0.04,240.6,58.252,1694,3193,6976,855.237,1388,6037,15074,1154.589,8185.303,38.971,78.0915,0.772041388,5.67,2714.433,507.9331325,338.5521576
1986.5,32779,16.7,9.6,37.1,18.1,0.403,61.944,104.732,106.665,110085,180997,6.2067,8.83,10.18,5.5233,7.31,6.9667,0.47,0.7,241.167,58.487,1850,3200,7057,835.832,1502,6035,15162,1123.532,8263.639,39.461,78.3101,0.774548948,5.67,2776.203,511.1875623,340.9254664
1986.75,32870,16.7,9.4,37.4,18,0.556,61.793,104.868,107.913,110728,181547,6.2667,8.6767,10.0933,5.3533,7.26,6.8333,-1.41,-1.18,243.7,58.813,1826,3225,7173,842.063,1475,6069,15292,1126.895,8308.021,39.993,78.9017,0.774976239,5.71,2864.687,516.3437831,339.107457
1987,33036,16.8,8.8,37.6,18.4,0.723,61.49,105.385,108.268,111408,182179,6.22,8.3667,9.66,5.5367,7.19,6.6,-4.17,-1.27,279.3,59.24,1729,3295,7304,871.196,1385,6065,15511,1157.306,8369.93,40.17,79.5066,0.771949039,6.57,2925.983,522.3066395,338.9020862
1987.25,33336,16.8,9.1,37.7,18.1,0.668,61.933,105.238,107.681,112246,182703,6.65,9.1667,10.3567,5.6567,8.34,6.2667,4.28,4.58,293.267,59.637,1811,3349,7430,874.588,1439,6099,15631,1157.909,8460.233,40.47,80.2293,0.767641994,6.87,2987.412,527.0948922,343.7131345
1987.5,33556,16.7,9.4,37.8,17.9,0.723,61.947,105.194,107.913,112909,183161,6.8433,9.7567,10.9067,6.0433,8.88,6,1.51,1.46,319.4,60.07,1894,3376,7552,876.466,1494,6089,15732,1158.077,8533.635,40.885,81.1206,0.763343333,7.45,3039.446,530.4583581,348.3347863
1987.75,34025,16.5,9,37.6,18.8,0.824,62.481,105.389,107.844,113793,183620,6.9167,10.2133,11.38,5.8633,9.12,5.8333,0.34,1.54,255.4,60.567,1846,3392,7690,946.459,1450,6081,15847,1236.986,8680.162,41.365,82.8848,0.761496702,5.97,3109.775,534.247416,361.2858085
1988,34148,16.5,9.2,38.1,17.8,0.783,62.696,104.756,108.604,114037,184111,6.6633,9.5567,10.7533,5.7233,8.42,5.7,5.76,1.71,258.1,61.043,1926,3433,7875,908.569,1516,6135,16031,1177.604,8725.006,42.082,83.16,0.757623383,6.15,3182.47,541.0582184,355.2070911
1988.25,34528,16.4,9.1,38.1,17.9,0.962,62.867,105.035,108.631,114927,184562,7.1567,9.81,10.98,6.21,8.91,5.4667,1.05,0.18,263.133,61.633,1934,3488,8030,934.525,1513,6170,16139,1205.662,8839.641,42.59,83.8932,0.7529936,6.39,3266.513,545.6939225,360.4927329
1988.5,34637,16.4,8.9,38.4,17.8,1.171,63.052,104.866,108.414,115356,184962,7.9833,9.9633,11.0733,7.01,9.1,5.4667,1.75,1.01,266.933,62.359,1917,3549,8236,942.009,1490,6197,16339,1212.36,8891.435,43.118,83.9283,0.74687347,6.55,3322.758,552.5415496,359.8609291
1988.75,35008,16.4,9,38.4,17.8,0.799,63.298,105.252,107.728,116104,185402,8.47,9.51,10.5133,7.7267,8.96,5.3333,-0.02,0.8,274.967,62.859,1977,3603,8384,962.748,1525,6246,16435,1230.861,9009.913,43.441,84.6604,0.745729355,6.74,3407.145,557.5299281,365.8667414
1989,35291,16.3,8.8,38.3,18.2,1.093,63.212,105.413,107.524,117022,185897,9.4433,9.6867,10.6433,8.54,9.21,5.2,-1.2,-0.76,290.7,63.55,1974,3662,8526,1005.487,1515,6262,16514,1272.638,9101.508,43.566,84.7558,0.740485203,7.2,3477.422,560.9571866,374.6658793
1989.25,35488,16.5,8.8,38.2,17.8,1.029,63.449,105.521,106.252,117418,186329,9.7267,9.4867,10.3667,8.41,8.77,5.2333,-1.83,-3.07,313.3,64.207,1997,3756,8634,1001.047,1531,6257,16543,1260.328,9170.977,43.747,83.6789,0.732337358,7.84,3554.778,562.8054706,373.5902189
1989.5,35654,16.4,8.9,38.2,17.4,0.722,63.773,105.706,105.924,117354,186726,9.0833,8.9667,9.8867,7.8433,8.11,5.2333,2.11,-0.11,341.933,64.672,2041,3780,8750,996.46,1562,6302,16605,1249.012,9238.923,44.145,82.4084,0.730655651,8.57,3586.707,567.0972699,373.9502378
1989.75,35633,16.5,8.5,38.6,17.3,0.693,63.795,105.323,106.822,117830,187165,8.6133,8.89,9.8133,7.6533,7.91,5.3667,-0.84,-1.38,345.4,65.122,1980,3830,8900,995.809,1510,6356,16717,1239.747,9257.128,44.778,81.872,0.727714464,8.67,3645.411,572.7812652,368.6805677
1990,35941,16.5,8.7,38.4,17.2,1.098,64.331,105.017,106.975,119203,188630,8.25,9.1933,10.0967,7.76,8.42,5.3,0.82,2.84,336.293,65.841,2070,3913,9032,1010.838,1570,6334,16765,1252.058,9358.289,45.643,82.092,0.720288469,8.44,3705.646,574.6275193,376.0747127
1990.25,35968,16.4,8.3,38.8,17,1.026,64.82,104.562,107.209,118983,189058,8.2433,9.3967,10.31,7.7467,8.68,5.3333,0.68,1.84,349.607,66.52,1996,3928,9227,1014.72,1514,6321,16916,1252.449,9392.251,46.535,82.1256,0.714448181,8.76,3746.177,579.6916889,371.9647452
1990.5,35850,16.6,8.2,39.3,16.6,0.889,65.017,104.28,107.37,118524,189528,8.16,9.4033,10.4167,7.4767,8.7,5.7,0.12,-1.58,335.397,67.114,1970,4003,9378,1000.785,1493,6309,16991,1228.17,9398.499,47.155,81.8666,0.707115562,8.41,3766.515,583.2263005,365.7822837
1990.75,35419,16.9,8,39.6,15.7,0.754,64.448,104.255,108.231,118241,190017,7.7433,9.2933,10.5967,6.99,8.4,6.1333,-0.49,-4.27,317.053,67.622,1912,4051,9417,947.453,1447,6224,16891,1159.464,9312.937,47.522,80.0739,0.698995054,7.88,3775.909,580.4911605,348.4653915
1991,35145,16.7,7.8,39.7,15.3,0.992,64.616,103.964,107.724,117652,190381,6.4267,8.9333,10.2033,6.0233,8.02,6.6,1.75,-1.93,353.343,68.296,1870,4020,9465,924.569,1403,6207,16826,1120.884,9269.367,47.795,77.9442,0.701774801,8.96,3761.829,580.2675481,337.6649024
1991.25,35305,16.6,7.7,39.8,15.1,0.683,65.663,103.818,107.404,117639,190800,5.8633,8.91,9.92,5.56,8.13,6.8333,2.41,3.32,378.653,68.764,1878,4038,9602,926.541,1405,6224,16939,1120.88,9341.642,48.715,78.0248,0.698843902,9.8,3768.15,585.3341024,338.4322441
1991.5,35348,16.5,7.8,39.9,15.2,0.732,66.134,103.953,107.072,117928,191302,5.6433,8.7867,9.6833,5.3767,7.94,6.8667,-0.78,1.23,385.61,69.269,1907,4034,9704,947.476,1422,6212,16952,1143.073,9388.845,49.297,79.1267,0.695464284,10.07,3730.464,587.4062174,344.8563895
1991.75,35381,16.3,7.6,40.1,15.6,0.538,66.52,103.915,107.497,117466,191798,4.8167,8.4467,9.4,4.54,7.35,7.1,-0.78,0.22,387.103,69.643,1874,4005,9818,978.788,1394,6138,16995,1183.605,9421.565,49.954,79.1063,0.688960618,10.3,3688.6,588.3897251,351.2313765
1992,35694,16.3,7.8,40.5,15,0.428,67.817,103.854,107.985,118144,192204,4.0233,8.28,9.2033,3.8933,7.3,7.3667,10.07,9.46,412,69.942,1941,4060,10042,956.817,1444,6211,17223,1161.74,9534.346,51.246,78.741,0.683027778,11.19,3701.594,597.7653638,350.9683462
1992.25,35968,16.1,7.7,40.4,15.6,0.636,68.388,104.104,107.579,118419,192663,3.77,8.2767,9.13,3.68,7.38,7.6,-1.34,1.94,410.163,70.388,1954,4084,10168,1013.084,1450,6216,17299,1227.44,9637.732,51.72,79.7422,0.679559425,11.04,3700.512,601.8018015,364.9479063
1992.5,36184,16.1,7.8,40.6,15.5,0.475,69.009,104.038,107.395,118720,193229,3.2567,7.98,8.7033,3.0833,6.62,7.6333,0.49,0.57,417.153,70.723,1990,4122,10311,1024.162,1475,6230,17418,1237.197,9732.979,52.322,79.9442,0.67596523,11.25,3688.612,607.3740532,369.607065
