1962.2,980.44,1298.7,1375,1750.2,5.5333,470.44,0.67917,0.162,362.49,32.232
1962.5,981,1299.6,1375.7,1750.2,5.5667,469.73,0.71,0.207,363.78,33.27
1962.8,980.98,1298.4,1376.5,1749.1,5.5333,469.89,0.70332,0.195,364.63,34.502
1963,981.76,1301.2,1376.5,1749.5,5.7667,470.02,0.72667,0.439,364.96,34.312
1963.2,982.74,1303,1376.7,1750.1,5.7333,469.48,0.735,0.166,365.97,34.535
1963.5,984.28,1305,1378.1,1749.9,5.5,468.43,0.82332,0.122,368.07,35.777
1963.8,984.61,1306.1,1378,1749.9,5.5667,468.96,0.87418,0.81,368.07,35.725
1964,986.44,1308.7,1379.4,1751.5,5.4667,467.72,0.8825,0.318,368.96,37.292
1964.2,987.31,1308.8,1380.9,1752.1,5.2,467.84,0.86918,0.24,369.64,36.6
1964.5,988.29,1311,1382.3,1751.9,5,467.9,0.87418,0.403,370.39,37.345
1964.8,988.29,1310.2,1382.6,1752,4.9667,469.2,0.92083,0.456,369.49,37.142
1965,990.45,1318.5,1383.2,1753.2,4.9,467.8,0.9725,0.502,370.96,37.045
1965.2,991.54,1318.1,1384.5,1753.7,4.6667,467.74,0.96832,0.446,371.56,37.42
1965.5,993.22,1320.6,1385.6,1753.3,4.3667,466.6,0.96667,0.396,373.34,39.385
1965.8,995.22,1321.8,1387.6,1754.1,4.1,465.91,1.0417,0.676,375.14,40.097
1966,997.41,1327.7,1388.4,1754.3,3.8667,465.94,1.1525,0.645,376.53,40.917
1966.2,997.56,1324.9,1389.6,1754.6,3.8333,467.09,1.1467,0.819,375.92,40.445
1966.5,997.97,1324.5,1389.8,1754.5,3.7667,467.6,1.2608,0.968,376.07,40.575
1966.8,998.51,1325.1,1389.9,1754.4,3.7,467.11,1.3025,0.845,376.75,41.537
1967,999.18,1322.3,1390.8,1753.3,3.8333,467.13,1.1283,0.415,377.59,43.492
1967.2,999.02,1320.9,1391.2,1753.5,3.8333,467.78,0.915,0.505,378,44.627
1967.5,999.6,1321.9,1391.6,1753.8,3.8,467.87,1.075,0.952,378.41,44.165
1967.8,1000.1,1323.2,1391.7,1754.4,3.9,467.91,1.1883,1.092,378.77,45.1
1968,1001.9,1326.2,1393.1,1753.7,3.7333,467.32,1.2625,1.105,380.97,46.565
1968.2,1003.4,1328.8,1394.4,1754.7,3.5667,466.9,1.38,1.049,381.93,47.205
1968.5,1003.8,1327.7,1395.6,1754.4,3.5333,467.91,1.2992,0.98,381.89,46.983
1968.8,1004,1328.6,1395.8,1754.5,3.4,468.68,1.3967,1.405,381.72,46.468
1969,1005.3,1332.3,1396.5,1755,3.4,468.08,1.5233,1.033,382.49,46.267
1969.2,1005.4,1331.2,1397.2,1755.3,3.4333,469.37,1.5492,1.269,381.68,45.582
1969.5,1005.8,1331.6,1397.4,1755.2,3.5667,470.1,1.7558,1.396,381.74,45.395
1969.8,1005,1327.7,1398.2,1755.2,3.5667,471.42,1.8383,1.281,381.32,45.26
1970,1004.6,1324.5,1398.8,1754.6,4.1667,471.88,1.8025,1.399,381.58,46.317
1970.2,1004.5,1324.3,1398.8,1753.1,4.7667,470.48,1.6692,1.384,383.09,48.092
1970.5,1005,1324.9,1399.6,1752.3,5.1667,470.08,1.5817,0.816,384.62,49.465
1970.8,1003.6,1318.5,1399.9,1752.1,5.8333,470.49,1.3383,1.311,383.76,49.382
1971,1006,1329,1399.3,1751.8,5.9333,468.62,0.96,1.516,386.62,50.61
1971.2,1006.2,1330.9,1399.8,1751.7,5.9,468.55,1.0625,1.309,386.96,50.665
1971.5,1006.7,1332.1,1400.1,1752.3,6.0333,468.1,1.2525,1.01,387.85,52.8
1971.8,1006.7,1331,1401.1,1753.4,5.9333,469.21,1.0575,0.827,387.05,51.445
1972,1008.2,1335.2,1401.4,1754.6,5.7667,469.23,0.85918,1.536,388.44,51.732
1972.2,1010.3,1339.5,1402.9,1755,5.7,467.98,0.9425,0.61,390.47,52.417
